,Items,(Ordered) Frequent Items
0,"['Lassi', 'Coffee Powder', 'Butter', 'Yougurt', 'Ghee', 'Cheese']","['Ghee', 'Coffee Powder', 'Yougurt', 'Butter', 'Cheese', 'Lassi']"
1,"['Ghee', 'Coffee Powder']","['Ghee', 'Coffee Powder']"
2,"['Lassi', 'Tea Powder', 'Butter', 'Cheese']","['Butter', 'Cheese', 'Lassi', 'Tea Powder']"
3,"['Cheese', 'Tea Powder', 'Panner', 'Coffee Powder', 'Butter', 'Bread']","['Coffee Powder', 'Bread', 'Butter', 'Cheese', 'Panner', 'Tea Powder']"
4,"['Cheese', 'Yougurt', 'Coffee Powder', 'Sugar', 'Butter', 'Sweet']","['Coffee Powder', 'Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese']"
5,"['Sugar', 'Tea Powder', 'Ghee', 'Sweet', 'Panner', 'Milk']","['Milk', 'Ghee', 'Sweet', 'Sugar', 'Panner', 'Tea Powder']"
6,"['Sweet', 'Coffee Powder']","['Coffee Powder', 'Sweet']"
7,"['Butter', 'Ghee', 'Panner']","['Ghee', 'Butter', 'Panner']"
8,"['Sweet', 'Tea Powder', 'Butter', 'Yougurt', 'Sugar', 'Cheese']","['Yougurt', 'Sweet', 'Sugar', 'Butter', 'Cheese', 'Tea Powder']"
9,"['Panner', 'Ghee']","['Ghee', 'Panner']"
10,"['Milk', 'Panner', 'Tea Powder', 'Sweet', 'Bread']","['Milk', 'Bread', 'Sweet', 'Panner', 'Tea Powder']"
11,"['Ghee', 'Coffee Powder', 'Milk', 'Yougurt', 'Lassi', 'Sugar', 'Butter', 'Panner']","['Milk', 'Ghee', 'Coffee Powder', 'Yougurt', 'Sugar', 'Butter', 'Panner', 'Lassi']"
12,"['Butter', 'Coffee Powder', 'Panner', 'Sweet', 'Ghee', 'Lassi']","['Ghee', 'Coffee Powder', 'Sweet', 'Butter', 'Panner', 'Lassi']"
13,"['Bread', 'Lassi', 'Coffee Powder', 'Tea Powder', 'Sweet', 'Ghee', 'Sugar', 'Panner']","['Ghee', 'Coffee Powder', 'Bread', 'Sweet', 'Sugar', 'Panner', 'Lassi', 'Tea Powder']"
14,"['Milk', 'Sweet', 'Butter', 'Sugar', 'Lassi', 'Panner']","['Milk', 'Sweet', 'Sugar', 'Butter', 'Panner', 'Lassi']"
15,"['Bread', 'Coffee Powder', 'Tea Powder']","['Coffee Powder', 'Bread', 'Tea Powder']"
16,"['Butter', 'Ghee', 'Milk', 'Cheese']","['Milk', 'Ghee', 'Butter', 'Cheese']"
17,"['Bread', 'Coffee Powder']","['Coffee Powder', 'Bread']"
